@relation test

@attribute type {A,T,J,P}
@attribute no-of-word numeric
@attribute length numeric
@attribute initials {0,1}
@attribute key-journal {0,1}
@attribute key-proceeding {0,1}
@attribute key-ieee {0,1}
@attribute key-symposium {0,1}
@attribute key-workshop {0,1}
@attribute key-meeting {0,1}
@attribute key-conference {0,1}
@attribute key-transaction {0,1}
@attribute key-ordinal {0,1}
@attribute preposition {0,1}
@attribute longest-word numeric
@attribute colon-in-title {0,1}
@attribute ordinal {0,1}

@data
J,4,25,0,1,0,0,0,0,0,0,0,0,1,9,0,0
T,9,73,0,0,0,0,0,0,0,0,0,0,0,12,0,0
A,3,12,0,0,0,0,0,0,0,0,0,0,0,4,0,0
J,2,24,0,0,0,0,0,0,0,0,0,0,0,12,0,0
A,3,9,1,0,0,0,0,0,0,0,0,0,0,3,0,0
A,4,12,1,0,0,0,0,0,0,0,0,0,0,3,0,0
T,6,43,0,0,0,0,0,0,0,0,0,0,1,10,0,0
P,16,147,0,0,0,0,0,1,0,0,0,0,0,15,0,0
A,2,9,1,0,0,0,0,0,0,0,0,0,0,6,0,0
A,2,11,1,0,0,0,0,0,0,0,0,0,0,8,0,0
A,4,12,1,0,0,0,0,0,0,0,0,0,0,3,0,0
T,7,56,0,0,0,0,0,0,0,0,0,0,0,13,0,0
J,8,76,0,0,0,0,0,0,0,0,0,0,0,13,0,0
A,4,12,1,0,0,0,0,0,0,0,0,0,0,3,0,0
T,8,75,0,0,0,0,0,0,0,0,0,0,1,12,0,0
J,1,11,0,0,0,0,0,0,0,0,0,0,0,11,0,0
A,2,8,1,0,0,0,0,0,0,0,0,0,0,4,0,0
A,2,10,1,0,0,0,0,0,0,0,0,0,0,6,0,0
A,2,8,1,0,0,0,0,0,0,0,0,0,0,5,0,0
A,2,10,1,0,0,0,0,0,0,0,0,0,0,6,0,0
T,6,60,0,0,0,0,0,0,0,0,0,0,0,15,0,0
J,1,11,0,0,0,0,0,0,0,0,0,0,0,11,0,0
A,2,10,1,0,0,0,0,0,0,0,0,0,0,5,0,0
T,12,111,0,0,0,0,0,0,0,0,0,0,1,15,0,0
J,5,43,0,1,0,0,0,0,0,0,0,0,1,12,0,0
A,3,16,1,0,0,0,0,0,0,0,0,0,0,6,0,0
A,2,12,0,0,0,0,0,0,0,0,0,0,0,6,0,0
A,2,12,0,0,0,0,0,0,0,0,0,0,0,8,0,0
A,3,14,1,0,0,0,0,0,0,0,0,0,0,5,0,0
T,10,87,0,0,0,0,0,0,0,0,0,0,1,16,0,0
J,5,42,0,0,0,0,0,0,0,0,0,0,1,12,0,0
A,2,10,0,0,0,0,0,0,0,0,0,0,0,6,0,0
A,3,16,0,0,0,0,0,0,0,0,0,0,0,6,0,0
A,2,13,0,0,0,0,0,0,0,0,0,0,0,7,0,0
A,3,20,1,0,0,0,0,0,0,0,0,0,0,8,0,0
T,9,88,0,0,0,0,0,0,0,0,0,0,0,13,1,0
J,4,22,0,0,0,0,0,0,0,0,0,0,0,7,0,0
A,2,9,1,0,0,0,0,0,0,0,0,0,0,4,0,0
A,2,9,1,0,0,0,0,0,0,0,0,0,0,4,0,0
A,2,8,1,0,0,0,0,0,0,0,0,0,0,4,0,0
A,2,9,1,0,0,0,0,0,0,0,0,0,0,4,0,0
A,2,8,1,0,0,0,0,0,0,0,0,0,0,4,0,0
A,3,17,1,0,0,0,0,0,0,0,0,0,0,7,0,0
A,2,10,1,0,0,0,0,0,0,0,0,0,0,5,0,0
T,7,81,0,0,0,0,0,0,0,0,0,0,0,22,0,0
J,1,14,0,0,0,0,0,0,0,0,0,0,0,14,0,0
A,3,12,1,0,0,0,0,0,0,0,0,0,0,6,0,0
A,3,9,1,0,0,0,0,0,0,0,0,0,0,3,0,0
T,9,81,0,0,0,0,0,0,0,0,0,0,1,13,0,0
J,5,45,0,0,0,0,0,0,0,0,0,0,1,12,0,0
A,2,9,1,0,0,0,0,0,0,0,0,0,0,4,0,0
T,6,51,0,0,0,0,0,0,0,0,0,0,0,11,0,0
J,6,52,0,0,0,0,0,0,0,0,0,0,0,12,0,0
A,2,16,0,0,0,0,0,0,0,0,0,0,0,10,0,0
A,2,12,0,0,0,0,0,0,0,0,0,0,0,8,0,0
A,2,11,0,0,0,0,0,0,0,0,0,0,0,7,0,0
A,2,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0
A,2,13,0,0,0,0,0,0,0,0,0,0,0,8,0,0
A,2,13,0,0,0,0,0,0,0,0,0,0,0,8,0,0
T,8,75,0,0,0,0,0,0,0,0,0,0,0,16,0,0
J,2,16,0,1,0,0,0,0,0,0,0,0,0,8,0,0
A,2,7,1,0,0,0,0,0,0,0,0,0,0,4,0,0
A,2,12,0,0,0,0,0,0,0,0,0,0,0,8,0,0
T,6,47,0,0,0,0,0,0,0,0,0,0,0,12,0,0
J,6,34,0,0,0,0,0,0,0,0,0,0,0,8,0,0
T,10,68,0,0,0,0,0,0,0,0,0,0,1,10,0,0
A,2,7,1,0,0,0,0,0,0,0,0,0,0,4,0,0
J,5,39,0,0,0,0,0,0,0,0,0,0,1,12,0,0
P,5,45,0,0,0,0,1,0,0,0,0,0,0,13,0,0
T,13,83,0,0,0,0,0,0,0,0,0,0,1,12,1,0
A,2,8,1,0,0,0,0,0,0,0,0,0,0,5,0,0
A,3,12,1,0,0,0,0,0,0,0,0,0,0,6,0,0
A,2,10,1,0,0,0,0,0,0,0,0,0,0,7,0,0
A,2,8,1,0,0,0,0,0,0,0,0,0,0,5,0,0
J,4,32,0,0,0,0,0,0,0,0,0,0,0,10,0,0
A,3,11,0,0,0,0,0,0,0,0,0,0,0,4,0,0
A,3,13,0,0,0,0,0,0,0,0,0,0,0,4,0,0
A,3,11,0,0,0,0,0,0,0,0,0,0,0,4,0,0
A,2,12,0,0,0,0,0,0,0,0,0,0,0,7,0,0
T,11,83,0,0,0,0,0,0,0,0,0,0,1,11,0,0
J,4,31,0,0,0,0,0,0,0,0,0,0,1,12,0,0
A,4,23,0,0,0,0,0,0,0,0,0,0,0,7,0,0
T,10,66,0,0,0,0,0,0,0,0,0,0,0,10,1,0
J,6,51,0,0,0,0,0,0,0,0,0,0,1,15,0,0
A,2,8,1,0,0,0,0,0,0,0,0,0,0,5,0,0
A,2,7,1,0,0,0,0,0,0,0,0,0,0,4,0,0
A,2,6,1,0,0,0,0,0,0,0,0,0,0,3,0,0
T,8,60,0,0,0,0,0,0,0,0,0,0,0,12,0,0
J,6,44,0,1,0,0,0,0,0,0,0,0,1,12,0,0
A,2,7,1,0,0,0,0,0,0,0,0,0,0,4,0,0
A,2,6,1,0,0,0,0,0,0,0,0,0,0,3,0,0
T,6,55,0,0,0,0,0,0,0,0,0,0,0,18,0,0
J,7,50,0,1,0,0,0,0,0,0,0,0,1,12,0,0
A,2,7,1,0,0,0,0,0,0,0,0,0,0,4,0,0
T,5,40,0,0,0,0,0,0,0,0,0,0,1,11,0,0
J,7,48,0,1,0,0,0,0,0,0,0,0,1,9,0,0
A,2,7,1,0,0,0,0,0,0,0,0,0,0,4,0,0
A,2,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0
T,6,47,0,0,0,0,0,0,0,0,0,0,0,11,0,0
J,4,32,0,1,0,0,0,0,0,0,0,0,1,13,0,0
A,2,6,1,0,0,0,0,0,0,0,0,0,0,3,0,0
A,2,7,1,0,0,0,0,0,0,0,0,0,0,4,0,0
T,4,43,0,0,0,0,0,0,0,0,0,0,0,13,0,0
J,5,31,0,1,0,0,0,0,0,0,0,0,1,9,0,0
A,3,11,1,0,0,0,0,0,0,0,0,0,0,5,0,0
T,12,86,0,0,0,0,0,0,0,0,0,0,1,12,0,0
J,4,34,0,0,0,0,0,0,0,0,0,0,0,12,0,0
A,2,6,1,0,0,0,0,0,0,0,0,0,0,3,0,0
A,2,6,1,0,0,0,0,0,0,0,0,0,0,3,0,0
A,2,7,1,0,0,0,0,0,0,0,0,0,0,4,0,0
A,2,15,1,0,0,0,0,0,0,0,0,0,0,12,0,0
T,7,58,0,0,0,0,0,0,0,0,0,0,0,13,0,0
P,7,45,0,0,0,0,0,0,0,1,0,0,0,10,0,0
A,2,9,1,0,0,0,0,0,0,0,0,0,0,6,0,0
A,2,7,1,0,0,0,0,0,0,0,0,0,0,4,0,0
A,2,6,1,0,0,0,0,0,0,0,0,0,0,4,0,0
T,8,70,0,0,0,0,0,0,0,0,0,0,1,12,0,0
J,8,58,0,0,0,0,0,0,0,0,0,0,1,12,0,0
A,2,12,1,0,0,0,0,0,0,0,0,0,0,9,0,0
A,2,8,1,0,0,0,0,0,0,0,0,0,0,5,0,0
A,2,7,1,0,0,0,0,0,0,0,0,0,0,5,0,0
T,4,36,0,0,0,0,0,0,0,0,0,0,0,17,0,0
J,6,36,0,1,0,0,0,0,0,0,0,0,0,7,0,0
A,3,13,0,0,0,0,0,0,0,0,0,0,0,4,0,0
A,3,13,0,0,0,0,0,0,0,0,0,0,0,5,0,0
T,7,54,0,0,0,0,0,0,0,0,0,0,0,9,0,0
J,2,18,0,0,0,0,0,0,0,0,0,0,0,10,0,0
A,3,11,0,0,0,0,0,0,0,0,0,0,0,4,0,0
A,3,22,0,0,0,0,0,0,0,0,0,0,0,8,0,0
T,9,74,0,0,0,0,0,0,0,0,0,0,0,12,0,0
J,9,58,0,0,0,0,0,0,0,0,0,0,1,12,0,0
A,3,19,0,0,0,0,0,0,0,0,0,0,0,8,0,0
A,3,13,0,0,0,0,0,0,0,0,0,0,0,4,0,0
A,3,23,0,0,0,0,0,0,0,0,0,0,0,9,0,0
T,10,56,0,0,0,0,0,0,0,0,0,0,1,11,1,0
P,7,58,0,0,0,1,0,0,0,0,0,0,0,13,0,0
A,2,9,0,0,0,0,0,0,0,0,0,0,0,5,0,0
A,3,12,0,0,0,0,0,0,0,0,0,0,0,4,0,0
A,2,12,0,0,0,0,0,0,0,0,0,0,0,7,0,0
A,2,9,0,0,0,0,0,0,0,0,0,0,0,5,0,0
A,2,15,0,0,0,0,0,0,0,0,0,0,0,9,0,0
T,10,69,0,0,0,0,0,0,0,0,0,0,0,10,0,0
J,6,57,0,1,0,0,0,0,0,0,0,0,1,13,0,0
A,2,12,0,0,0,0,0,0,0,0,0,0,0,7,0,0
A,2,13,0,0,0,0,0,0,0,0,0,0,0,8,0,0
T,9,78,0,0,0,0,0,0,0,0,0,0,0,11,0,0
J,1,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0
T,11,83,0,0,0,0,0,0,0,0,0,0,1,12,0,0
J,1,15,0,0,0,0,0,0,0,0,0,0,0,15,0,0
A,2,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0
T,10,80,0,0,0,0,0,0,0,0,0,0,0,14,0,0
J,1,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0
T,3,22,0,0,0,0,0,0,0,0,0,0,0,9,0,0
A,2,7,1,0,0,0,0,0,0,0,0,0,0,4,0,0
A,2,8,1,0,0,0,0,0,0,0,0,0,0,5,0,0
J,7,50,0,0,0,0,0,0,0,0,0,0,1,12,0,0
T,5,37,0,0,0,0,0,0,0,0,0,0,0,9,0,0
A,2,7,1,0,0,0,0,0,0,0,0,0,0,4,0,0
J,4,28,0,0,0,0,0,0,0,0,0,0,1,12,0,0
A,2,9,1,0,0,0,0,0,0,0,0,0,0,4,0,0
A,3,13,1,0,0,0,0,0,0,0,0,0,0,4,0,0
T,10,77,0,0,0,0,0,0,0,0,0,0,1,13,0,0
J,7,52,0,0,0,0,0,0,0,0,0,0,1,12,0,0
A,2,8,1,0,0,0,0,0,0,0,0,0,0,4,0,0
T,9,62,0,0,0,0,0,0,0,0,0,0,1,11,0,0
P,9,76,0,0,0,0,0,0,0,1,0,0,0,15,0,1
A,1,8,1,0,0,0,0,0,0,0,0,0,0,8,0,0
T,12,84,0,0,0,0,0,0,0,0,0,0,1,11,0,0
A,2,9,1,0,0,0,0,0,0,0,0,0,0,4,0,0
A,2,9,1,0,0,0,0,0,0,0,0,0,0,4,0,0
T,8,61,0,0,0,0,0,0,0,0,0,0,0,10,1,0
J,6,59,0,0,0,0,0,0,0,0,0,0,0,15,0,0
P,9,69,0,0,0,0,0,0,0,1,0,0,0,11,0,0
A,2,6,1,0,0,0,0,0,0,0,0,0,0,3,0,0
A,2,11,1,0,0,0,0,0,0,0,0,0,0,6,0,0
A,2,7,1,0,0,0,0,0,0,0,0,0,0,4,0,0
T,8,74,0,0,0,0,0,0,0,0,0,0,0,15,0,0
J,3,20,0,1,0,0,0,0,0,0,0,0,0,8,0,0
A,2,8,1,0,0,0,0,0,0,0,0,0,0,5,0,0
A,3,8,1,0,0,0,0,0,0,0,0,0,0,2,0,0
A,3,10,1,0,0,0,0,0,0,0,0,0,0,4,0,0
T,6,47,0,0,0,0,0,0,0,0,0,0,0,15,0,0
J,6,48,0,0,0,0,0,0,0,0,0,0,0,10,0,0
A,2,17,1,0,0,0,0,0,0,0,0,0,0,14,0,0
T,5,28,0,0,0,0,0,0,0,0,0,0,0,7,0,0
J,6,42,0,0,0,0,0,0,0,0,0,0,1,12,0,0
A,2,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0
T,15,111,0,0,0,0,0,0,0,0,0,0,1,12,1,0
J,8,61,0,1,0,0,0,0,0,0,0,0,1,11,0,0
T,13,100,0,0,0,0,0,0,0,0,0,0,1,12,1,0
A,2,15,0,0,0,0,0,0,0,0,0,0,0,9,0,0
T,4,39,0,0,0,0,0,0,0,0,0,0,1,12,0,0
A,2,8,1,0,0,0,0,0,0,0,0,0,0,5,0,0
A,4,14,1,0,0,0,0,0,0,0,0,0,0,5,0,0
T,12,88,0,0,0,0,0,0,0,0,0,0,1,14,0,0
J,7,53,0,0,0,0,0,0,0,0,0,0,1,12,0,0
A,2,5,1,0,0,0,0,0,0,0,0,0,0,2,0,0
A,2,8,1,0,0,0,0,0,0,0,0,0,0,5,0,0
A,2,14,1,0,0,0,0,0,0,0,0,0,0,11,0,0
T,15,127,0,0,0,0,0,0,0,0,0,0,1,17,0,0
J,8,59,0,0,0,0,0,0,0,0,0,0,1,12,0,0
A,2,11,1,0,0,0,0,0,0,0,0,0,0,8,0,0
T,5,52,0,0,0,0,0,0,0,0,0,0,0,20,1,0
P,6,50,0,0,1,0,0,0,0,0,0,0,0,12,0,0
A,3,16,0,0,0,0,0,0,0,0,0,0,0,8,0,0
A,3,12,1,0,0,0,0,0,0,0,0,0,0,5,0,0
A,2,9,0,0,0,0,0,0,0,0,0,0,0,5,0,0
A,3,19,0,0,0,0,0,0,0,0,0,0,0,7,0,0
A,2,11,0,0,0,0,0,0,0,0,0,0,0,7,0,0
A,2,14,0,0,0,0,0,0,0,0,0,0,0,7,0,0
A,2,9,0,0,0,0,0,0,0,0,0,0,0,6,0,0
A,2,11,0,0,0,0,0,0,0,0,0,0,0,8,0,0
T,12,92,0,0,0,0,0,0,0,0,0,0,1,14,0,0
J,4,28,0,0,0,0,0,0,0,0,0,0,0,10,0,0
T,10,59,0,0,0,0,0,0,0,0,0,0,1,12,0,0
J,2,12,0,0,0,0,0,0,0,0,0,0,0,7,0,0
A,2,10,0,0,0,0,0,0,0,0,0,0,0,6,0,0
A,2,13,0,0,0,0,0,0,0,0,0,0,0,8,0,0
A,2,15,0,0,0,0,0,0,0,0,0,0,0,9,0,0
A,2,15,0,0,0,0,0,0,0,0,0,0,0,8,0,0
A,2,13,0,0,0,0,0,0,0,0,0,0,0,7,0,0
A,2,15,0,0,0,0,0,0,0,0,0,0,0,9,0,0
A,2,8,0,0,0,0,0,0,0,0,0,0,0,5,0,0
A,2,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0
A,2,12,0,0,0,0,0,0,0,0,0,0,0,7,0,0
A,2,13,0,0,0,0,0,0,0,0,0,0,0,8,0,0
T,10,70,0,0,0,0,0,0,0,0,0,0,1,11,1,0
J,1,14,0,0,0,0,0,0,0,0,0,0,0,14,0,0
A,2,13,0,0,0,0,0,0,0,0,0,0,0,7,0,0
A,3,13,1,0,0,0,0,0,0,0,0,0,0,6,0,0
A,3,18,1,0,0,0,0,0,0,0,0,0,0,8,0,0
A,2,14,0,0,0,0,0,0,0,0,0,0,0,9,0,0
T,9,65,0,0,0,0,0,0,0,0,0,0,1,11,0,0
J,1,14,0,0,0,0,0,0,0,0,0,0,0,14,0,0
T,8,66,0,0,0,0,0,0,0,0,0,0,0,14,0,0
A,2,12,0,0,0,0,0,0,0,0,0,0,0,7,0,0
A,2,10,1,0,0,0,0,0,0,0,0,0,0,5,0,0
A,3,21,1,0,0,0,0,0,0,0,0,0,0,10,0,0
A,3,9,1,0,0,0,0,0,0,0,0,0,0,3,0,0
J,10,77,0,0,0,0,0,0,0,0,0,0,1,14,0,0
T,9,71,0,0,0,0,0,0,0,0,0,0,0,12,0,0
A,2,14,0,0,0,0,0,0,0,0,0,0,0,9,0,0
J,2,12,0,1,0,0,0,0,0,0,0,0,0,7,0,0
A,2,11,0,0,0,0,0,0,0,0,0,0,0,5,0,0
A,2,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0
T,7,49,0,0,0,0,0,0,0,0,0,0,1,11,0,0
J,1,12,0,0,0,0,0,0,0,0,0,0,0,12,0,0
A,2,9,0,0,0,0,0,0,0,0,0,0,0,4,0,0
T,8,53,0,0,0,0,0,0,0,0,0,0,1,11,0,0
J,2,12,0,1,0,0,0,0,0,0,0,0,0,7,0,0
A,2,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0
A,3,20,1,0,0,0,0,0,0,0,0,0,0,10,0,0
T,5,37,0,0,0,0,0,0,0,0,0,0,0,10,0,0
P,7,59,0,0,0,0,0,0,0,1,0,0,0,13,0,1
A,2,6,1,0,0,0,0,0,0,0,0,0,0,4,0,0
A,2,9,0,0,0,0,0,0,0,0,0,0,0,5,0,0
A,2,9,0,0,0,0,0,0,0,0,0,0,0,5,0,0
T,8,75,0,0,0,0,0,0,0,0,0,0,0,14,0,0
J,5,36,0,0,0,0,0,0,0,0,0,0,1,11,0,0
A,2,9,0,0,0,0,0,0,0,0,0,0,0,6,0,0
A,2,10,0,0,0,0,0,0,0,0,0,0,0,5,0,0
T,10,75,0,0,0,0,0,0,0,0,0,0,1,12,0,0
J,5,30,0,0,0,0,0,0,0,0,0,0,1,10,0,0
A,2,12,0,0,0,0,0,0,0,0,0,0,0,7,0,0
A,3,13,1,0,0,0,0,0,0,0,0,0,0,5,0,0
T,8,56,0,0,0,0,0,0,0,0,0,0,1,9,0,0
J,5,30,0,0,0,0,0,0,0,0,0,0,1,10,0,0
A,2,4,1,0,0,0,0,0,0,0,0,0,0,2,0,0
A,2,6,1,0,0,0,0,0,0,0,0,0,0,4,0,0
A,2,7,1,0,0,0,0,0,0,0,0,0,0,5,0,0
A,5,17,1,0,0,0,0,0,0,0,0,0,0,5,0,0
T,8,66,0,0,0,0,0,0,0,0,0,0,0,14,0,0
J,9,62,0,0,0,0,0,0,0,0,0,0,1,12,0,0
A,3,8,1,0,0,0,0,0,0,0,0,0,0,4,0,0
A,3,7,1,0,0,0,0,0,0,0,0,0,0,3,0,0
A,3,6,1,0,0,0,0,0,0,0,0,0,0,2,0,0
A,3,7,1,0,0,0,0,0,0,0,0,0,0,3,0,0
T,10,72,0,0,0,0,0,0,0,0,0,0,1,11,0,0
J,5,43,0,0,0,0,0,0,0,0,0,0,1,12,0,0
A,2,5,1,0,0,0,0,0,0,0,0,0,0,3,0,0
A,2,7,1,0,0,0,0,0,0,0,0,0,0,5,0,0
A,2,6,1,0,0,0,0,0,0,0,0,0,0,4,0,0
T,9,54,0,0,0,0,0,0,0,0,0,0,0,11,0,0
J,2,17,0,0,0,0,0,0,0,0,0,0,0,10,0,0
A,2,4,1,0,0,0,0,0,0,0,0,0,0,2,0,0
A,2,6,1,0,0,0,0,0,0,0,0,0,0,4,0,0
T,16,121,0,0,0,0,0,0,0,0,0,0,1,12,1,0
J,4,30,0,1,0,0,0,0,0,0,0,0,0,9,0,0
T,11,97,0,0,0,0,0,0,0,0,0,0,1,16,0,0
J,1,14,0,0,0,0,0,0,0,0,0,0,0,14,0,0
A,2,10,0,0,0,0,0,0,0,0,0,0,0,7,0,0
A,2,8,0,0,0,0,0,0,0,0,0,0,0,5,0,0
A,4,13,1,0,0,0,0,0,0,0,0,0,0,6,0,0
T,6,60,0,0,0,0,0,0,0,0,0,0,0,11,0,0
J,7,54,0,0,0,0,0,0,0,0,0,0,1,12,0,1
T,8,62,0,0,0,0,0,0,0,0,0,0,0,14,0,0
J,7,49,0,0,0,0,0,0,0,0,0,0,1,12,0,0
A,2,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0
A,2,9,0,0,0,0,0,0,0,0,0,0,0,5,0,0
A,2,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0
A,2,10,0,0,0,0,0,0,0,0,0,0,0,6,0,0
T,10,79,0,0,0,0,0,0,0,0,0,0,0,10,1,0
J,5,42,0,0,0,0,0,0,0,0,0,0,1,12,0,0
A,2,6,1,0,0,0,0,0,0,0,0,0,0,3,0,0
A,2,6,1,0,0,0,0,0,0,0,0,0,0,3,0,0
A,2,5,1,0,0,0,0,0,0,0,0,0,0,2,0,0
A,2,5,1,0,0,0,0,0,0,0,0,0,0,2,0,0
A,2,7,1,0,0,0,0,0,0,0,0,0,0,4,0,0
A,2,6,1,0,0,0,0,0,0,0,0,0,0,3,0,0
T,8,44,0,0,0,0,0,0,0,0,0,0,0,8,0,0
J,4,35,0,0,0,0,0,0,0,0,0,0,1,12,0,0
A,2,11,0,0,0,0,0,0,0,0,0,0,0,7,0,0
A,2,11,0,0,0,0,0,0,0,0,0,0,0,7,0,0
A,2,9,0,0,0,0,0,0,0,0,0,0,0,5,0,0
A,2,11,0,0,0,0,0,0,0,0,0,0,0,7,0,0
A,2,10,0,0,0,0,0,0,0,0,0,0,0,7,0,0
T,9,63,0,0,0,0,0,0,0,0,0,0,1,14,0,0
J,2,15,0,0,0,0,0,0,0,0,0,0,0,10,0,0
A,2,9,0,0,0,0,0,0,0,0,0,0,0,6,0,0
A,2,5,1,0,0,0,0,0,0,0,0,0,0,2,0,0
T,8,48,0,0,0,0,0,0,0,0,0,0,1,8,0,0
J,2,15,0,0,0,0,0,0,0,0,0,0,0,10,0,0
A,2,6,1,0,0,0,0,0,0,0,0,0,0,3,0,0
T,9,62,0,0,0,0,0,0,0,0,0,0,1,9,0,0
J,5,30,0,0,0,0,0,0,0,0,0,0,1,9,0,0
A,3,10,1,0,0,0,0,0,0,0,0,0,0,4,0,0
